CASE REFERENCE,OPEN DATE,CLOSED DATE,STATUS,SUBJECT,REASON,TYPE,OBJECT TYPE,ADDRESS NUMBER,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,PROPERTY ID,LOCATION,LATITUDE,LONGITUDE,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD,X COORDINATE,Y COORDINATE
1000532751,06/03/2016 11:41:00 AM,06/06/2016 03:46:00 PM,Closed,Dept of Public Works,Streets,Leaves / Lawn Debris (Req_Serv),Property,500,PORTER,,Buffalo,NY,,99.76-3-6,,,,,,,,,UNKNOWN,,
1000532836,06/03/2016 01:35:00 PM,06/06/2016 02:23:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Genesee St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532929,06/03/2016 10:19:00 PM,06/06/2016 11:02:00 AM,Closed,Buffalo Police Department,Police,Quality of Life Issue (Req_Serv),Street,,ELGAS,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000532957,06/05/2016 12:07:00 PM,06/07/2016 09:10:00 AM,Closed,Utilities,Buffalo Sewer Authority,Sewer (Req_Serv),Street,,NORTHRUP PL,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000533023,06/06/2016 09:47:00 AM,06/06/2016 03:57:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,VIRGINIA ST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000533099,06/06/2016 11:26:00 AM,06/06/2016 02:09:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Genesee St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000533372,06/06/2016 03:59:00 PM,06/07/2016 02:35:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,CARLYLE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000533770,06/08/2016 08:51:00 AM,06/09/2016 04:11:00 PM,Closed,Dept of Public Works,Streets,Excess Trash (Req_Serv),Street,,Tyler St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534081,06/09/2016 09:13:00 AM,06/30/2016 01:43:00 PM,Closed,Utilities,National Grid,Streetlights (Req_Serv),Street,,DELAVAN EAST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534099,06/09/2016 09:30:00 AM,06/09/2016 10:32:00 AM,Closed,Dept of Public Works,Animal Shelter,Dead Animal Removal (Req_Serv),Street,,Elmwood Ave,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534167,06/09/2016 11:44:00 AM,06/10/2016 09:22:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,CHIPPEWA EAST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534349,06/09/2016 05:51:00 PM,07/12/2016 09:40:00 AM,Closed,Dept of Public Works,Rodent Control,Pest (Req_Serv),Street,,COPELAND,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534363,06/10/2016 08:33:00 AM,06/13/2016 03:17:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,HURON WEST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534438,06/10/2016 10:10:00 AM,06/30/2016 01:43:00 PM,Closed,Utilities,National Grid,Streetlights (Req_Serv),Street,,PORTER,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534440,06/10/2016 10:12:00 AM,06/30/2016 01:43:00 PM,Closed,Utilities,National Grid,Streetlights (Req_Serv),Street,,BUSTI,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534574,06/10/2016 12:48:00 PM,06/13/2016 08:56:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,Elmwood Ave,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534676,06/10/2016 03:57:00 PM,06/22/2016 08:31:00 AM,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,150,BAILEY,,Buffalo,NY,,123.17-2-9,,,,,,,,,UNKNOWN,,
1000534748,06/13/2016 08:39:00 AM,06/14/2016 03:04:00 PM,Closed,Dept of Public Works,Streets,Excess Trash (Req_Serv),Street,,VULCAN,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534795,06/13/2016 09:46:00 AM,12/20/2017 10:19:00 AM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,STARIN,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534813,06/13/2016 10:09:00 AM,06/13/2016 03:32:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,LARKIN,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000534901,06/13/2016 11:55:00 AM,06/13/2016 12:19:00 PM,Closed,Dept of Parking,Parking Violations Bureau,Parking Issues (Req_Serv),Street,,DUNDEE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535196,06/14/2016 10:21:00 AM,06/17/2016 04:27:00 PM,Closed,Dept of Public Works,Sanitation,Illegal Dumping Curb (Req_Serv),Property,620,WEST SHORE,,Buffalo,NY,,101.73-1-21.1,,,,,,,,,UNKNOWN,,
1000535239,06/14/2016 10:45:00 AM,06/15/2016 03:00:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Pot Hole (Req_Serv),Street,,HAMBURG,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535253,06/14/2016 10:57:00 AM,06/17/2016 08:52:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,HURON WEST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535289,06/14/2016 11:31:00 AM,09/16/2016 02:58:00 PM,Closed,Dept of Public Works,Engineering - Traffic,Right of Way Issue (Req_Serv),Street,,LOCKWOOD,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535313,06/14/2016 11:53:00 AM,06/24/2016 09:01:00 AM,Closed,Dept of Public Works,Engineering - Traffic,Sign Maintenance (Req_Serv),Street,,MCKINLEY PKWY,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535434,06/14/2016 02:43:00 PM,06/17/2016 08:54:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,GENESEE WEST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535499,06/14/2016 05:45:00 PM,07/01/2016 02:15:00 PM,Closed,Dept of Public Works,Rodent Control,Rodents (Req_Serv),Street,,Heath St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535830,06/15/2016 03:39:00 PM,06/17/2016 04:27:00 PM,Closed,Dept of Public Works,Streets,Excess Trash (Req_Serv),Street,,SOUTH PARK,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535884,06/16/2016 08:59:00 AM,06/17/2016 08:03:00 AM,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,250,FILLMORE,,Buffalo,NY,,111.76-2-34,,,,,,,,,UNKNOWN,,
1000535978,06/16/2016 10:45:00 AM,06/17/2016 08:37:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,PEARL ST,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000535991,06/16/2016 10:56:00 AM,06/17/2016 08:39:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Delaware Ave,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000546039,06/16/2016 11:13:00 PM,07/26/2016 09:58:00 AM,Closed,Dept of Public Works,Rodent Control,Rodents (Req_Serv),Street,,PRIES,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000546056,06/17/2016 08:39:00 AM,06/17/2016 09:50:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Franklin St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000546505,06/18/2016 09:20:00 AM,06/30/2016 01:42:00 PM,Closed,Utilities,National Grid,Streetlights (Req_Serv),Street,,BRECKENRIDGE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000546589,06/20/2016 09:16:00 AM,06/21/2016 07:45:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Individual,,,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
